transcript,average read density,Spearman's coefficient,Pearson's coefficient
YAL008W,4.75779376499,0.533674513738,0.593873918465
YBR255W,0.397375328084,0.299044671134,0.328454398562
YGR131W,0.208695652174,0.318132528202,0.195382606806
YNL003C,1.26962962963,0.506084228726,0.433928475102
YBR135W,17.3919413919,0.544042651149,0.759553800368
YBR160W,3.92329149233,0.549800361082,0.503181212793
YJL082W,1.34672619048,0.487754261856,0.473009287498
YPL191C,0.539313399779,0.461812823576,0.511868059673
YGL215W,1.20780322307,0.520434725132,0.379364801344
YKL074C,1.14672364672,0.4892330507,0.482998003025
YJL077C,0.0277777777778,0.323734330956,0.367625122657
YKL096W-A,161.454545455,0.760217324356,0.850020754201
YIL124W,6.22408963585,0.51407245992,0.506210276855
YPL039W,0.559014267185,0.392348488198,0.42688802252
YGL141W,0.761848805327,0.47016016764,0.432699343914
YJL179W,8.22666666667,0.274516497426,0.354988610521
YDR316W-A,271.155730534,0.674531373831,0.611296276914
YDR316W-B,93.5121855346,0.43720742948,0.335213217464
YOR009W,0.3753894081,0.286797033778,0.304156224872
YKL029C,8.37759562842,0.542282143344,0.51577287184
YPL166W,0.584415584416,0.457244993797,0.535577530491
YKL052C,1.49499284692,0.30553633893,0.205967840656
YHR025W,16.4250559284,0.570935109389,0.483420846806
YOL034W,0.368471953578,0.396403182708,0.348058929715
YBL008W,0.667947076398,0.41793066655,0.420198669221
YIL062C,17.0140350877,0.547428130246,0.392391305706
YOL116W,0.946336429309,0.486457635729,0.59715121285
YDR196C,2.15934065934,0.489725157105,0.517769628459
YBR280C,0.423875432526,0.436623168344,0.420867612356
YNR032W,0.923408845739,0.451035108148,0.45383138586
YNR045W,0.363565891473,0.380636780995,0.324941884986
YML105C,6.53271028037,0.573580387831,0.561240112547
YNL288W,2.07324840764,0.638826055381,0.569156212447
YIL004C,3.26907630522,0.543200503565,0.579819780874
YNR018W,9.83232323232,0.640131987115,0.498130806782
YPL144W,3.05243445693,0.676217037361,0.624540623029
YFR047C,5.51129943503,0.546645811122,0.537966546429
YER087C-B,27.2608695652,0.702742793878,0.733231486262
YHR078W,0.423258958756,0.397615417303,0.404785629819
YJR115W,0.109090909091,0.323109921973,0.266174969074
YLR355C,178.3125,0.573674575141,0.640838736379
YGR099W,0.556438791733,0.461845360905,0.506388047491
YLR300W,21.263924593,0.606486984842,0.580456534667
YCL028W,15.3574181118,0.654162290405,0.545109649623
YJR140C,0.550660792952,0.456281391731,0.438221026141
YOR033C,0.385692068429,0.315599430344,0.349511526844
YOR062C,0.374800637959,0.423725293164,0.50182723428
YBR043C,0.237566137566,0.403540428728,0.386667358756
YHR112C,1.78056426332,0.562216007029,0.46381561467
YLR011W,1.2297979798,0.468567399149,0.446435004244
YIL044C,3.66666666667,0.69638907419,0.597486082098
