PRIMERS,DILN,Oligo,CL,Rep,Cy0,eff,fluo
NM827_NM828,20,804,1,1,7.02,1.588062098710387,394.54949817830123
NM827_NM828,20,804,1,2,6.51,1.551829944083248,373.56770133583893
NM827_NM828,20,804,1,3,6.52,1.6410305941931502,338.9788054168168
NM827_NM828,20,804,2,1,6.62,1.66072618590962,359.11836678439295
NM827_NM828,20,804,2,2,6.45,1.6440220290678715,355.4431382476615
NM827_NM828,20,804,2,3,6.6,1.6760599714568756,417.55693977271375
NM827_NM828,20,1,1,1,5.82,1.5173017571829093,370.2588299164114
NM827_NM828,20,1,1,2,6.13,1.620292692541345,358.7063347610854
NM827_NM828,20,1,1,3,5.95,1.535419239942061,353.3920429291529
NM827_NM828,20,1,2,1,6.13,1.622790553900021,413.7827062585668
NM827_NM828,20,1,2,2,6.29,1.631826655836968,427.1102937311033
NM827_NM828,20,1,2,3,6.25,1.6792870625733893,370.7575527736782
NM827_NM828,20,2,1,1,6.3,1.6001078807867128,354.49134038709263
NM827_NM828,20,2,1,2,6.1,1.6173172084798142,343.4822347815483
NM827_NM828,20,2,1,3,6.26,1.558147388149002,373.78024397132936
NM827_NM828,20,2,2,1,6.31,1.734120464938456,391.20412349151377
NM827_NM828,20,2,2,2,6.38,1.6655241263124845,410.20978959901004
NM827_NM828,20,2,2,3,6.95,1.7040136181794738,391.95828026683336
NM827_NM828,20,3,1,1,6.25,1.629874147693681,344.1390209146202
NM827_NM828,20,3,1,2,6.15,1.6164908284809547,360.0905178414918
NM827_NM828,20,3,1,3,6.41,1.6464644513760445,323.59336852205405
NM827_NM828,20,3,2,1,6.73,1.7043862533336156,404.0880706082379
NM827_NM828,20,3,2,2,6.43,1.6442173021316975,393.01641314198463
NM827_NM828,20,3,2,3,6.48,1.6840509975091538,399.96271135338196
NM827_NM828,20,7,1,1,7.13,1.6281427718771977,337.44183896507025
NM827_NM828,20,7,1,2,7.03,1.6452786409342863,328.3202233259604
NM827_NM828,20,7,1,3,7.27,1.677717890326143,325.52293051426017
NM827_NM828,20,7,2,1,7.98,1.741712384803032,406.91593797064434
NM827_NM828,20,7,2,2,7.95,1.696583682353661,391.7689213051465
NM827_NM828,20,7,2,3,7.93,1.6031873474495535,374.35084881375633
