Well,row,column,Strain,Isolate,RT_NUM,amplicon,Rep,amplicon2,Cy0,eff,fluo
A1,A,1,CHA2,3,1,LL003_LL004,1,eCitrine,14.04,1.5809493185713992,369.6005694381155
A10,A,10,CHA2,6,3,NM268_NM269,3,mCherry,17.99,1.9770534376320836,232.778142857186
A11,A,11,MAX,5,11,NM268_NM269,3,mCherry,18.16,1.9963866617784976,241.97596025670165
A3,A,3,MAX,5,11,LL010_LL004,1,eCitrine,18.05,2.0783797258500565,318.3716652790431
A4,A,4,MIN,5,5,NM268_NM269,1,mCherry,18.28,2.031198543111989,243.41164069473706
A6,A,6,Y333,3,7,LL006_LL004,2,eCitrine,17.68,2.0737057783907846,321.36714340700075
A7,A,7,CHA2,6,3,NM268_NM269,2,mCherry,18.38,1.9428147233772366,258.6247909627411
A8,A,8,MAX,5,11,NM268_NM269,2,mCherry,18.23,1.9630294787276852,264.0288272074636
A9,A,9,Y333,3,7,LL006_LL004,3,eCitrine,17.77,2.1076852807738384,339.3629658029181
B1,B,1,CHA2,5,2,LL003_LL004,1,eCitrine,14.97,2.114750653546397,366.89980800885314
B10,B,10,MIN,3,4,NM268_NM269,3,mCherry,18.37,1.9867430850088,291.4052020370497
B11,B,11,MAX,6,12,NM268_NM269,3,mCherry,18.54,1.96511974867565,271.21954576370115
B3,B,3,MAX,6,12,LL010_LL004,1,eCitrine,18.54,2.1125649155083477,348.17896413048095
B4,B,4,MIN,6,6,NM268_NM269,1,mCherry,18.99,1.912515748519335,263.5078665565326
B6,B,6,Y333,5,8,LL006_LL004,2,eCitrine,17.9,1.9550870093005368,351.1548645038579
B7,B,7,MIN,3,4,NM268_NM269,2,mCherry,18.32,1.9751814933296319,261.98836491005375
B8,B,8,MAX,6,12,NM268_NM269,2,mCherry,18.63,1.9317413765509226,274.88324274220344
B9,B,9,Y333,5,8,LL006_LL004,3,eCitrine,17.72,1.9395806159988846,361.3068880465717
C1,C,1,CHA2,6,3,LL003_LL004,1,eCitrine,14.79,2.128727095803078,378.92636059197645
C10,C,10,MIN,5,5,NM268_NM269,3,mCherry,18.33,1.9330712968560544,298.9876769054842
C2,C,2,Y333,3,7,LL006_LL004,1,eCitrine,18.23,2.103528387132755,510.94319266567754
C4,C,4,Y333,3,7,NM268_NM269,1,mCherry,19.52,1.9245055855448268,310.08238549383077
C5,C,5,CHA2,3,1,LL003_LL004,2,eCitrine,13.94,2.1194395690752406,333.9915476220898
C6,C,6,Y333,6,9,LL006_LL004,2,eCitrine,17.45,2.11806606608561,359.47223198962683
C7,C,7,MIN,5,5,NM268_NM269,2,mCherry,18.34,1.9353213121089436,299.7414545002089
C8,C,8,CHA2,3,1,LL003_LL004,3,eCitrine,14.28,2.141497731472967,373.5953846494712
C9,C,9,Y333,6,9,LL006_LL004,3,eCitrine,17.3,2.0942889019582442,366.9301297329388
D10,D,10,MIN,6,6,NM268_NM269,3,mCherry,18.95,1.9336123482516308,287.4305478497895
D2,D,2,Y333,5,8,LL006_LL004,1,eCitrine,17.84,2.105126052087015,343.04726714042664
D4,D,4,Y333,5,8,NM268_NM269,1,mCherry,19.49,1.929889635119943,279.7410150079582
D5,D,5,CHA2,5,2,LL003_LL004,2,eCitrine,14.81,2.1613004369989035,419.3045162063755
D6,D,6,MAX,3,10,LL010_LL004,2,eCitrine,22.85,2.0253691231805697,400.7942467890123
D7,D,7,MIN,6,6,NM268_NM269,2,mCherry,19.01,1.9355462085973962,343.9579975675051
D8,D,8,CHA2,5,2,LL003_LL004,3,eCitrine,14.27,2.093777462157455,383.8796615954181
D9,D,9,MAX,3,10,LL010_LL004,3,eCitrine,23.27,2.0187326114621085,397.29682067771125
E10,E,10,Y333,3,7,NM268_NM269,3,mCherry,19.32,1.9459823979097612,325.07530229528294
E2,E,2,Y333,6,9,LL006_LL004,1,eCitrine,17.47,2.110392366451045,399.5191025982817
E3,E,3,CHA2,3,1,NM268_NM269,1,mCherry,18.22,1.9501894833162756,354.2763605941219
