Well,row,column,strain,isolate,RT_NUM,amplicon,Rep,amplicon2,Cy0,eff,fluo
A1,A,1,MIN,3,1,LL009_LL004,1,eCitrine,16.76,2.1231101154927376,444.7339626275717
A10,A,10,MIN,6,3,NM268_NM269,3,mCherry,18.28,1.97286202752296,502.10845519183283
A11,A,11,Y99,5,11,NM268_NM269,3,mCherry,18.27,1.9525332693938866,518.8871747981665
A3,A,3,Y99,5,11,LL008_LL004,1,eCitrine,17.56,2.079808862217406,517.6411522564225
A4,A,4,Y00,5,5,NM268_NM269,1,mCherry,18.19,1.9414299181311447,527.661930374627
A6,A,6,Y66,3,7,LL007_LL004,2,eCitrine,16.69,2.1218050508034105,460.8807624894929
A7,A,7,MIN,6,3,NM268_NM269,2,mCherry,18.44,1.9704710211871164,514.327158394346
A8,A,8,Y99,5,11,NM268_NM269,2,mCherry,18.18,1.9554877959906334,543.5267142430466
A9,A,9,Y66,3,7,LL007_LL004,3,eCitrine,16.72,2.1022142786550986,489.3221964530609
B1,B,1,MIN,5,2,LL009_LL004,1,eCitrine,16.56,2.1089671799922103,400.86760666964557
B10,B,10,Y00,3,4,NM268_NM269,3,mCherry,18.33,1.9281249303999721,533.9377119915123
B11,B,11,Y99,6,12,NM268_NM269,3,mCherry,18.71,1.9299359290998834,562.9403819155867
B3,B,3,Y99,6,12,LL008_LL004,1,eCitrine,18.07,2.0900804384708542,508.3685594977676
B4,B,4,Y00,6,6,NM268_NM269,1,mCherry,18.23,1.9571912532427806,503.419587642711
B6,B,6,Y66,5,8,LL007_LL004,2,eCitrine,16.68,2.090818858337938,482.81521064907673
B7,B,7,Y00,3,4,NM268_NM269,2,mCherry,18.31,1.8909186860424656,529.95969553253
B8,B,8,Y99,6,12,NM268_NM269,2,mCherry,18.72,1.9166220492197927,544.639893868097
B9,B,9,Y66,5,8,LL007_LL004,3,eCitrine,16.55,2.097705605229622,464.2876183084139
C1,C,1,MIN,6,3,LL009_LL004,1,eCitrine,16.58,2.0787207850609266,563.8393226677831
C10,C,10,Y00,5,5,NM268_NM269,3,mCherry,17.39,1.91067651900321,590.6569421798431
C2,C,2,Y66,3,7,LL007_LL004,1,eCitrine,16.6,2.0796929001333133,534.7503661756931
C4,C,4,Y66,3,7,NM268_NM269,1,mCherry,17.87,1.9353463487348466,586.7329610607906
C5,C,5,MIN,3,1,LL009_LL004,2,eCitrine,16.73,2.0947795253944346,551.679547536081
C6,C,6,Y66,6,9,LL007_LL004,2,eCitrine,16.71,2.107584478172712,550.9027311161739
C7,C,7,Y00,5,5,NM268_NM269,2,mCherry,18.41,1.9231179397074478,622.8872666205875
C8,C,8,MIN,3,1,LL009_LL004,3,eCitrine,16.69,2.1112406689745233,568.9980670923572
C9,C,9,Y66,6,9,LL007_LL004,3,eCitrine,29.79,2.0480774292972437,645.5595459961395
D10,D,10,Y00,6,6,NM268_NM269,3,mCherry,18.3,1.8474831077089964,684.9318814347904
D2,D,2,Y66,5,8,LL007_LL004,1,eCitrine,16.67,2.1153934816391335,500.5259951633953
D4,D,4,Y66,5,8,NM268_NM269,1,mCherry,17.68,1.9481280034339075,591.5345018822062
D5,D,5,MIN,5,2,LL009_LL004,2,eCitrine,16.73,2.08551061021781,523.1886430489408
D6,D,6,Y99,3,10,LL008_LL004,2,eCitrine,16.03,2.0734471647185306,560.9980992873736
D7,D,7,Y00,6,6,NM268_NM269,2,mCherry,18.34,1.9270349692227542,619.649542028052
D8,D,8,MIN,5,2,LL009_LL004,3,eCitrine,16.66,2.0995190668934174,589.9951623236021
