Well,row,column,strain,isolate,amplicon,amplicon2,Rep,Cy0,eff,fluo
A2,A,2,Y66,6,LL007_LL004,eCitrine,1,17.12,2.1562296655678663,467.0636813466133
A3,A,3,MIN,5,LL009_LL004,eCitrine,1,16.55,2.1156667392708877,467.97327160954285
A4,A,4,MIN,3,NM268_NM269,mCherry,1,18.29,1.975483332741926,518.5347154878414
A5,A,5,MIN,6,NM268_NM269,mCherry,3,18.11,1.82821143046416,513.8436030745414
A6,A,6,Y66,6,NM268_NM269,mCherry,2,18.96,1.9601362565040077,523.0882750374791
B2,B,2,Y66,6,LL007_LL004,eCitrine,2,17.12,2.146633548298263,475.59279784056594
B3,B,3,MIN,5,LL009_LL004,eCitrine,2,16.6,2.104033086917837,478.1283637610384
B4,B,4,MIN,3,NM268_NM269,mCherry,2,18.36,1.953896813733317,542.804110969741
B5,B,5,Y66,3,NM268_NM269,mCherry,1,18.16,1.950309344518763,526.6142983338068
B6,B,6,Y66,6,NM268_NM269,mCherry,3,18.8,1.9683536506743893,534.1097688283444
C1,C,1,Y66,3,LL007_LL004,eCitrine,1,16.86,2.14174014479194,559.2239478137365
C2,C,2,Y66,6,LL007_LL004,eCitrine,3,17.12,1.9255519298836958,624.9925256004648
C3,C,3,MIN,5,LL009_LL004,eCitrine,3,16.61,2.1312327151557393,575.1040026096001
C4,C,4,MIN,3,NM268_NM269,mCherry,3,18.41,1.9668091431209618,637.862597090097
C5,C,5,Y66,3,NM268_NM269,mCherry,2,18.17,1.9386032775654236,651.8034853185446
D1,D,1,Y66,3,LL007_LL004,eCitrine,2,16.86,2.1307652232555534,491.429955469724
D3,D,3,MIN,6,LL009_LL004,eCitrine,1,16.7,2.1823427747269606,543.7035706612439
D4,D,4,MIN,5,NM268_NM269,mCherry,1,18.3,1.9631402257571993,590.7653811140043
D5,D,5,Y66,3,NM268_NM269,mCherry,3,18.17,1.9476479742656838,589.3841372587157
E1,E,1,Y66,3,LL007_LL004,eCitrine,3,16.89,2.1123347192644615,588.3097105640244
E3,E,3,MIN,6,LL009_LL004,eCitrine,2,16.64,2.130589810424886,628.9085135430508
E4,E,4,MIN,5,NM268_NM269,mCherry,2,18.34,1.962039035682453,693.7247242013221
E5,E,5,Y66,5,NM268_NM269,mCherry,1,18.15,1.9727850550034374,664.680375100403
F1,F,1,Y66,5,LL007_LL004,eCitrine,1,16.8,2.132075381133417,486.41043971682876
F2,F,2,MIN,3,LL009_LL004,eCitrine,1,16.71,2.1304569493372227,501.89047974774167
F3,F,3,MIN,6,LL009_LL004,eCitrine,3,16.63,2.1404257757596485,560.4933734987383
F4,F,4,MIN,5,NM268_NM269,mCherry,3,18.31,1.966891672097019,634.61431644629
F5,F,5,Y66,5,NM268_NM269,mCherry,2,18.15,1.963850128746835,646.9346783241872
G1,G,1,Y66,5,LL007_LL004,eCitrine,2,16.84,2.133127732636817,589.197743528762
G2,G,2,MIN,3,LL009_LL004,eCitrine,2,16.62,2.159457343783024,585.2937030432543
G4,G,4,MIN,6,NM268_NM269,mCherry,1,18.45,1.9680145136892366,687.2867145789409
G5,G,5,Y66,5,NM268_NM269,mCherry,3,18.21,1.9672239340469553,663.1537584436834
H1,H,1,Y66,5,LL007_LL004,eCitrine,3,16.81,2.142886123615509,472.61794508440073
H2,H,2,MIN,3,LL009_LL004,eCitrine,3,16.72,2.129931992545961,532.7450044916201
H4,H,4,MIN,6,NM268_NM269,mCherry,2,18.38,1.9701172088521368,604.3471615453343
H5,H,5,Y66,6,NM268_NM269,mCherry,1,18.72,1.9453620624551766,596.7980807239469
