YAR009C	YAR010C	YBL005W-A	YBL005W-B	YBL100W-A	YBL100W-B	YBR012W-A	YBR012W-B	YCL019W	YCL020W	YDR034C-C	YDR034C-D	YDR098C-A	YDR098C-B	YDR170W-A	YDR210C-C	YDR210C-D	YDR210W-A	YDR210W-B	YDR261C-C	YDR261C-D	YDR261W-A	YDR261W-B	YDR316W-A	YDR316W-B	YDR365W-A	YDR365W-B	YER137C-A	YER138C	YER159C-A	YER160C	YFL002W-A	YFL002W-B	YGR027W-A	YGR027W-B	YGR038C-A	YGR038C-B	YGR161C-C	YGR161C-D	YGR161W-A	YGR161W-B	YHR214C-B	YHR214C-C	YJR026W	YJR027W	YJR028W	YJR029W	YLR035C-A	YLR157C-A	YLR157C-B	YLR227W-A	YLR227W-B	YLR256W-A	YLR410W-A	YLR410W-B	YML039W	YML040W	YML045W-A	YML045W	YMR045C	YMR046C	YMR050C	YMR051C	YNL054W-A	YNL054W-B	YNL284C-A	YNL284C-B	YOL103W-A	YOL103W-B	YOR142W-A	YOR142W-B	YOR192C-A	YOR192C-B	YOR343W-A	YOR343W-B	YPL257W-A	YPL257W-B	YPR137C-A	YPR137C-B	YPR158C-C	YPR158C-D	YPR158W-A	YPR158W-B
YBL111C	YBL112C	YBL113C	YDR545W	YEL075C	YEL076C-A	YEL076C	YEL077C	YER189W	YER190W	YFL064C	YFL065C	YFL066C	YGR296W	YHL049C	YHL050C	YHR218W-A	YHR218W	YHR219W	YIL177C	YJL225C	YLL066C	YLL067C	YLR462W	YLR464W	YLR466W	YLR467W	YML133C	YNL339C	YOR396W	YPL283C	YPR202W	YPR203W	YPR204W
YAL068C	YAR020C	YBL108C-A	YBR301W	YCR104W	YDR542W	YEL049W	YFL020C	YGL261C	YGR294W	YHL046C	YIL176C	YIR041W	YJL223C	YKL224C	YLL025W	YLL064C	YLR037C	YLR461W	YMR325W	YNR076W	YOL161C	YOR394W	YPL282C
YBL113W-A	YDR545C-A	YEL077W-A	YER190C-B	YFL068W	YGR296C-B	YHL050W-A	YHR219C-A	YIL177W-A	YJL225W-A	YLL066W-A	YLL067W-A	YLR466C-A	YLR467C-A	YML133W-B	YNL339W-B	YOR396C-A	YPL283W-B	YPR204C-A
YAL068W-A	YAL069W	YCR108C	YDR543C	YER188C-A	YFL063W	YJR162C	YKL225W	YLL065W	YMR326C	YNL337W	YNR077C	YOL166W-A	YOR394C-A
YAL067W-A	YBL108W	YGL260W	YHL045W	YIL174W	YIL175W	YIR040C	YJL222W-A	YJL222W-B	YKL223W	YMR324C	YNR075C-A
YBR302C	YDL248W	YFL062W	YGR295C	YHL048W	YIR043C	YIR044C	YJR161C	YKL219W	YML132W	YNL336W
Q0045	Q0050	Q0055	Q0060	Q0065	Q0070	Q0105	Q0110	Q0115	Q0120
YAL005C	YBL075C	YDL229W	YEL030W	YER103W	YJL034W	YJR045C	YLL024C	YNL209W
YBL017C	YCR099C	YCR100C	YCR101C	YIL173W	YJL222W	YNR065C	YNR066C
YAL063C	YAL064C-A	YAL065C	YAR050W	YAR062W	YHR211W	YHR213W
YCR018C-A	YDR366C	YER181C	YGR122C-A	YMR046W-A	YOL106W	YPR002C-A
YCR107W	YDL243C	YFL056C	YFL057C	YJR155W	YNL331C	YOL165C
YBR299W	YGR287C	YGR292W	YIL172C	YJL216C	YJL221C	YOL157C
YAR027W	YAR028W	YAR031W	YAR033W	YGL051W	YGL053W
YER190C-A	YFL067W	YGR296C-A	YML133W-A	YNL339W-A	YPL283W-A
YAR066W	YAR068W	YHR214W-A	YHR214W	YIL169C	YOL155C
YBL109W	YDR544C	YHR217C	YLL066W-B	YLR466C-B	YNL338W
YDR342C	YDR343C	YDR345C	YHR092C	YHR094C	YLR081W
YBL107W-A	YER138W-A	YHR145C	YIL060W	YOR192C-C
YHL009W-A	YHL009W-B	YJL113W	YJL114W	YPL060C-A
YLR156W	YLR157W-D	YLR157W-E	YLR159W	YLR161W
YGR109W-A	YGR109W-B	YIL080W	YIL082W-A	YIL082W
YAR073W	YAR075W	YHR216W	YLR432W	YML056C
YIL170W	YIL171W	YJL219W	YOL156W
YDL245C	YEL069C	YJR158W	YNR072W
YJL158C	YJL159W	YKL163W	YKL164C
YDL244W	YFL058W	YJR156C	YNL332W
YLR154C-H	YLR156C-A	YLR157C-C	YLR159C-A
YIL148W	YKR094C	YLL039C	YLR167W
YLR155C	YLR157C	YLR158C	YLR160C
YAR071W	YBR092C	YBR093C	YHR215W
YBR116C	YBR117C	YPR074C
YOR388C	YPL275W	YPL276W
YOL055C	YPL258C	YPR121W
YCL065W	YCR041W	YCR097W-A
YER056C	YER060W-A	YER060W
YMR323W	YOR393W	YPL281C
YDR133C	YDR134C	YLR110C
YOR389W	YPL277C	YPL278C
YDR038C	YDR039C	YDR040C
YLR237W	YOR071C	YOR192C
YCL067C	YCR039C	YCR096C
YGR192C	YJL052W	YJR009C
YMR322C	YOR391C	YPL280W
YGR087C	YLR044C	YLR134W
YPR169W-A	YPR170W-A	YPR170W-B
YHR053C	YHR055C
YML085C	YML124C
YDR436W	YML016C
YBR048W	YDR025W
YPR038W	YPR039W
YDR099W	YER177W
YBR118W	YPR080W
YER081W	YIL074C
YPR160W-A	YPR160W
YER074W	YIL069C
YMR013C-A	YMR013C
YGR085C	YPR102C
YBR010W	YNL031C
YHR135C	YNL154C
YEL034W	YJR047C
YAR069C	YHR214C-D
YMR230W	YOR293W
YBL068W-A	YBL069W
YDR182W-A	YMR034C
YIL140W	YIL141W
Q0010	Q0017
YBL030C	YBR085W
YNL104C	YOR108W
YFL034C-A	YLR061W
YIL171W-A	YJL220W
YJL138C	YKR059W
YNL204C	YNL205C
YKL075C	YKL076C
YKL129C	YMR109W
YHR203C	YJR145C
YMR194W	YPL249C-A
YLR450W	YML075C
YHR054C	YHR056C
YDR093W	YDR094W
YHR021C	YKL156W
YGR032W	YLR342W
YDL246C	YJR159W
YBR181C	YPL090C
YBR121C-A	YBR121C
YHR052W-A	YHR054W-A
YLR122C	YLR123C
YHL003C	YKL008C
YBR054W	YDR033W
YKL145W-A	YKL145W
YJR094W-A	YPR043W
YNL302C	YOL121C
YDL082W	YMR142C
YGR027C	YLR333C
YGL259W	YIR039C
YDR500C	YLR185W
YOR247W	YOR248W
YGL008C	YPL036W
YDR312W	YHR066W
YML009W-B	YML010W
YGR214W	YLR048W
YMR169C	YMR170C
YHR047C	YKL157W
YDL134C	YDL188C
YDR418W	YEL054C
YKR072C	YOR054C
YBR219C	YBR220C
YDL247W	YJR160C
YLR249W	YNL014W
YBR145W	YMR083W
YDL131W	YDL182W
YFR024C-A	YHR016C
YBL082C	YBL083C
YBR126W-A	YBR126W-B
YDR447C	YML024W
YCL069W	YKR105C
YCR031C	YJL191W
YFL059W	YNL333W
YAL034C	YOR338W
YGR114C	YGR115C
YFR052C-A	YFR053C
YBL072C	YER102W
YHR073W-A	YHR073W
YAR070C	YHR214C-E
YBL027W	YBR084C-A
YHL033C	YLL045C
YNL018C	YNL034W
YCL066W	YCR040W
YCR102C	YLR460C
YLR029C	YMR121C
YPR077C	YPR078C
YHR043C	YHR044C
YBR300C	YGR293C
YBR189W	YPL081W
YEL070W	YNR073C
YMR186W	YPL240C
YFL011W	YMR011W
YEL075W-A	YLR463C
YCL068C	YCR038C
YLR261C	YLR262C
YER056C-A	YIL052C
YPR052C	YPR053C
YMR119W-A	YMR119W
YDR534C	YOR383C
YGR124W	YPR145W
YLR441C	YML063W
YGR138C	YPR156C
YAR061W	YHR212W-A
YJL141C	YJL142C
YBR009C	YNL030W
YFL061W	YNL335W
YLR280C	YLR281C
YBR298C-A	YGR291C
YGL135W	YPL220W
YMR173W-A	YMR173W
YER062C	YIL053W
YBR297W	YPR196W
YKL123W	YKL124W
YNL184C	YNL185C
YJL177W	YKL180W
YBL003C	YDR225W
YIL030W-A	YIL031W
YOR299W	YOR300W
YAL026C-A	YAL026C
YIL029C	YPR071W
YDL075W	YLR406C
YBR031W	YDR012W
YMR052C-A	YMR053C
YMR183C	YPL232W
YNL139C	YNL140C
YGR136W	YGR137W
YBL087C	YER117W
YNL096C	YOR096W
YOR199W	YOR200W
YER131W	YGL189C
YKL081W	YPL048W
YBR218C	YGL062W
YGL031C	YGR148C
YDR154C	YDR155C
YIL133C	YNL069C
YDL137W	YDL192W
YFL060C	YNL334C
YBL068W	YER099C
YCL040W	YCL042W
YBR249C	YDR035W
YLR140W	YLR141W
YOR104W	YOR105W
YHR141C	YNL162W
YKL220C	YOR381W
YIL047C-A	YIL047C
YGL147C	YNL067W
YFR009W-A	YFR009W
YER011W	YOR010C
YDR502C	YLR180W
YDR432W	YDR433W
YBL039C-A	YBL039C
YBR191W	YPL079W
YLR448W	YML073C
YGL039W	YGL157W
YBR089C-A	YBR090C
YGR151C	YGR152C
YBR112C	YOL051W
YLR201C	YLR202C
YFL050C	YOL130W
YOR012W	YOR013W
YDR450W	YML026C
YJL136C	YKR057W
YGL076C	YPL198W
YLR287C-A	YOR182C
YMR303C	YOL086C
YLL019C	YLL020C
YER070W	YIL066C
YCL073C	YKR106W
YOR234C	YPL143W
YMR054W	YOR270C
YLR264W	YOR167C
YGR034W	YLR344W
YOR309C	YOR310C
YBL002W	YDR224C
YOR390W	YPL279C
YFR015C	YLR258W
YLR415C	YLR416C
YDR471W	YHR010W
YDL061C	YLR388W
YDL083C	YMR143W
YNL268W	YNL270C
YLR235C	YLR236C
YGR010W	YGR011W
YGR118W	YPR132W
YER066W	YFL009W
YLR154W-A	YLR162W-A
YML116W-A	YML117W
YAR064W	YHR213W-B
YFR031C-A	YIL018W
YCL041C	YCL043C
YMR242C	YOR312C
YDR385W	YOR133W
YBR205W	YBR206W
YLR251W	YLR252W
YLL052C	YPR192W
YDR098C	YER174C
YMR321C	YPL273W
YNL301C	YOL120C
YHL001W	YKL006W
YDR417C	YEL053W-A
YGR254W	YHR174W
YLR293C	YOR185C
YDR382W	YOL039W
YNL019C	YNL033W
YDL136W	YDL191W
YGL258W	YOR387C
YJL190C	YLR367W
YCR091W	YNR047W
